id,magnitude,location,timestamp,longitude,latitude
107,0.83,"23 km ENE of Ashford, Washington",2023-02-11 02:29:35.450,-121.76,46.85
108,0.32,Washington,2023-02-11 05:22:46.980,-121.76,46.85
109,0.61,"23 km N of Packwood, Washington",2023-02-11 09:18:50.290,-121.70,46.82
110,0.21,"9 km NE of Ashford, Washington",2023-02-11 11:20:57.330,-121.94,46.82
111,0.37,"23 km ENE of Ashford, Washington",2023-02-11 15:10:40.650,-121.76,46.85
112,1.46,"5 km N of Enumclaw, Washington",2023-02-13 03:07:04.600,-121.98,47.25
113,2.30,"16 km SSE of Friday Harbor, Washington",2023-02-13 19:23:31.080,-122.93,48.40
114,0.17,"22 km ENE of Ashford, Washington",2023-02-13 22:39:55.250,-121.76,46.85
115,1.01,"4 km W of Quilcene, Washington",2023-02-13 23:23:46.960,-122.93,47.83
116,0.42,"25 km ENE of Ashford, Washington",2023-02-14 14:02:18.060,-121.74,46.86
117,1.46,"1 km W of Mount Vernon, Washington",2023-02-14 22:04:41.870,-122.36,48.42
118,0.03,"16 km NE of Ashford, Washington",2023-02-14 22:48:35.530,-121.90,46.87
119,1.13,"Puget Sound region, Washington",2023-02-15 19:09:55.550,-122.73,47.73
120,1.17,"11 km W of Greenwater, Washington",2023-02-16 00:21:03.520,-121.80,47.16
121,1.87,"1 km WNW of Bonney Lake, Washington",2023-02-16 16:07:52.300,-122.21,47.18
122,0.34,"3 km ENE of Lake Roesiger, Washington",2023-02-16 18:41:36.890,-121.89,48.00
123,1.23,"7 km SW of Rainier, Washington",2023-02-17 00:28:25.460,-122.75,46.84
124,0.13,"24 km ENE of Ashford, Washington",2023-02-17 03:54:11.930,-121.74,46.84
125,0.29,"25 km ENE of Ashford, Washington",2023-02-17 04:29:44.190,-121.74,46.86
126,1.48,Washington,2023-02-17 20:40:28.500,-122.20,46.98
127,0.63,"24 km NE of Ashford, Washington",2023-02-17 21:28:55.390,-121.77,46.88
